smoking,gender,age,education,weight,height,bmi
yes,male,62,College or above,94.8,184.5,27.8
yes,male,53,HS or GED,90.4,171.4,30.8
yes,male,78,HS or GED,83.4,170.1,28.8
no,female,56,College or above,109.8,160.9,42.4
no,female,42,Some college / AA,55.2,164.9,20.3
no,female,72,9-11th grade,64.4,150.0,28.6
yes,male,22,Some college / AA,76.6,165.4,28.0
no,female,32,Some college / AA,64.5,151.3,28.2
no,male,18,Some college / AA,72.4,166.1,26.2
no,male,56,HS or GED,108.3,179.4,33.6
yes,male,46,College or above,86.2,176.7,27.6
yes,male,45,9-11th grade,76.2,177.8,24.1
yes,female,30,Some college / AA,71.2,163.6,26.6
no,female,67,College or above,117.8,164.1,43.7
no,male,67,College or above,97.4,183.8,28.8
no,female,19,Some college / AA,100.8,175.4,32.8
no,female,24,College or above,61.8,156.4,25.3
yes,female,27,Some college / AA,107.9,168.5,38.0
no,female,54,Some college / AA,59.0,149.9,26.3
no,male,49,9-11th grade,72.8,170.7,25.0
no,female,80,HS or GED,67.7,149.8,30.2
no,female,58,College or above,56.6,157.5,22.8
no,male,56,9-11th grade,69.0,166.1,25.0
no,female,27,College or above,87.8,160.7,34.0
yes,male,22,Some college / AA,73.7,170.7,25.3
yes,female,60,College or above,75.6,145.2,35.9
no,male,51,Some college / AA,102.1,182.2,30.8
yes,female,69,Some college / AA,84.0,164.6,31.0
no,male,66,College or above,102.9,173.9,34.0
no,female,80,9-11th grade,78.6,167.6,28.0
no,female,37,Some college / AA,66.6,161.6,25.5
yes,female,80,College or above,58.5,157.1,23.7
no,female,29,HS or GED,68.4,169.8,23.7
no,male,27,Some college / AA,79.1,166.3,28.6
no,female,20,HS or GED,72.9,166.8,26.2
no,female,68,HS or GED,63.7,147.9,29.1
yes,male,24,Some college / AA,89.2,182.2,26.9
no,male,27,Some college / AA,59.3,178.4,18.6
no,male,42,College or above,86.1,183.7,25.5
yes,male,70,College or above,81.7,173.8,27.0
no,female,20,Some college / AA,60.4,164.8,22.2
no,male,23,College or above,72.4,180.3,22.3
yes,male,61,HS or GED,93.0,177.5,29.5
no,female,39,HS or GED,71.3,162.0,27.2
no,male,50,College or above,65.8,170.6,22.6
yes,male,69,HS or GED,87.7,176.4,28.2
no,female,18,Some college / AA,68.6,156.5,28.0
no,female,45,9-11th grade,77.5,148.3,35.2
yes,male,80,Some college / AA,78.3,179.7,24.2
no,male,27,9-11th grade,68.9,172.8,23.1
no,male,18,Some college / AA,71.2,185.0,20.8
yes,male,71,Some college / AA,80.3,170.6,27.6
yes,female,37,HS or GED,85.1,155.3,35.3
no,female,49,HS or GED,76.1,166.7,27.4
no,female,46,College or above,110.2,162.7,41.6
yes,male,30,Some college / AA,89.1,181.5,27.0
no,female,31,College or above,70.4,159.0,27.8
no,female,19,Some college / AA,60.3,157.1,24.4
no,male,35,HS or GED,95.8,175.6,31.1
yes,female,21,9-11th grade,39.7,156.3,16.3
yes,male,40,Some college / AA,88.0,169.3,30.7
yes,female,67,College or above,61.3,160.2,23.9
yes,male,48,HS or GED,82.4,169.8,28.6
no,male,63,HS or GED,67.2,170.0,23.3
yes,male,54,9-11th grade,91.2,173.9,30.2
no,female,42,College or above,91.6,163.1,34.4
yes,female,71,HS or GED,61.5,152.7,26.4
no,female,32,College or above,63.2,162.7,23.9
no,female,80,9-11th grade,46.7,152.4,20.1
yes,male,61,HS or GED,62.2,167.0,22.3
no,female,38,Some college / AA,48.7,149.3,21.8
yes,male,74,College or above,84.1,175.9,27.2
no,female,51,9-11th grade,51.4,149.3,23.1
yes,male,26,College or above,77.7,178.7,24.3
no,female,18,Some college / AA,50.5,157.4,20.4
no,female,54,Some college / AA,109.5,167.9,38.8
yes,male,60,HS or GED,58.9,173.1,19.7
no,female,80,HS or GED,56.2,154.5,23.5
yes,female,29,College or above,79.1,160.6,30.7
yes,male,55,Some college / AA,86.0,185.4,25.0
yes,female,52,College or above,73.0,165.9,26.5
no,male,49,Some college / AA,90.7,188.5,25.5
yes,female,47,Some college / AA,110.2,161.1,42.5
no,male,22,College or above,71.5,172.4,24.1
no,male,51,HS or GED,70.5,169.1,24.7
yes,female,49,Some college / AA,95.7,159.1,37.8
yes,male,37,HS or GED,73.2,178.9,22.9
no,female,43,Some college / AA,91.1,172.3,30.7
yes,female,23,Some college / AA,99.3,171.5,33.8
yes,male,71,Some college / AA,90.0,173.6,29.9
yes,male,19,Some college / AA,64.7,172.9,21.6
no,female,74,HS or GED,57.9,154.1,24.4
yes,male,66,Some college / AA,77.8,170.5,26.8
no,female,62,HS or GED,55.4,154.0,23.4
yes,male,37,9-11th grade,78.7,174.0,26.0
no,female,80,Some college / AA,65.7,156.3,26.9
yes,female,31,9-11th grade,90.8,164.6,33.5
no,female,27,HS or GED,49.7,170.2,17.2
no,female,44,College or above,55.7,154.4,23.4
yes,male,45,College or above,82.5,173.3,27.5
yes,male,71,HS or GED,68.9,166.6,24.8
yes,male,75,Some college / AA,92.3,173.0,30.8
yes,male,43,College or above,116.7,181.9,35.3
no,female,33,Some college / AA,73.5,168.4,25.9
no,female,78,HS or GED,78.9,160.0,30.8
yes,male,55,9-11th grade,71.4,172.7,23.9
yes,male,24,9-11th grade,56.5,164.1,21.0
no,female,46,College or above,67.9,153.8,28.7
yes,male,53,HS or GED,78.4,174.1,25.9
no,male,47,Some college / AA,93.1,176.0,30.1
yes,female,47,HS or GED,58.6,160.6,22.7
no,female,44,Some college / AA,73.2,154.7,30.6
no,female,28,College or above,68.4,166.5,24.7
no,female,72,9-11th grade,67.0,149.4,30.0
yes,male,49,Some college / AA,129.3,179.4,40.2
no,male,27,9-11th grade,120.1,180.0,37.1
yes,male,40,College or above,60.9,169.0,21.3
no,female,21,Some college / AA,95.8,164.9,35.2
yes,female,26,Some college / AA,109.2,167.5,38.9
yes,male,63,College or above,93.1,178.1,29.4
no,female,65,HS or GED,77.6,155.3,32.2
yes,male,80,Some college / AA,74.6,169.5,26.0
no,female,80,HS or GED,48.2,152.1,20.8
no,male,25,College or above,71.4,176.2,23.0
no,male,55,College or above,57.5,176.5,18.5
yes,male,40,Some college / AA,98.1,180.9,30.0
yes,male,21,HS or GED,105.1,178.4,33.0
yes,female,37,9-11th grade,72.2,159.3,28.5
yes,male,68,College or above,61.5,164.9,22.6
no,female,60,College or above,96.8,176.2,31.2
yes,female,60,College or above,91.3,166.0,33.1
yes,female,31,College or above,48.6,157.3,19.6
yes,female,54,Some college / AA,78.0,168.5,27.5
yes,male,48,Some college / AA,98.1,175.1,32.0
yes,female,45,9-11th grade,85.0,159.8,33.3
no,female,62,HS or GED,60.1,153.9,25.4
no,female,68,HS or GED,55.4,160.8,21.4
yes,male,32,Some college / AA,119.6,178.2,37.7
no,male,24,HS or GED,69.2,177.6,21.9
no,male,53,College or above,70.4,167.5,25.1
no,female,41,College or above,68.9,169.0,24.1
yes,male,27,College or above,110.1,192.9,29.6
no,male,54,HS or GED,82.2,169.7,28.5
no,female,29,Some college / AA,81.5,162.5,30.9
yes,female,19,Some college / AA,49.4,156.2,20.2
no,female,18,Some college / AA,96.2,168.2,34.0
no,female,61,College or above,60.3,161.3,23.2
no,female,28,HS or GED,51.1,158.5,20.3
yes,male,51,Some college / AA,78.4,171.1,26.8
yes,female,41,Some college / AA,89.7,163.4,33.6
yes,female,25,Some college / AA,44.6,150.8,19.6
no,male,36,College or above,100.2,186.5,28.8
no,male,66,College or above,78.8,178.3,24.8
no,female,23,College or above,82.8,161.2,31.9
no,male,36,9-11th grade,73.4,161.2,28.2
no,female,71,Some college / AA,60.8,161.1,23.4
yes,male,75,9-11th grade,63.9,181.8,19.3
no,female,45,College or above,90.4,165.0,33.2
no,female,72,College or above,50.7,151.6,22.1
no,female,79,College or above,70.5,157.1,28.6
yes,female,55,College or above,95.9,171.9,32.5
no,female,64,College or above,49.5,154.3,20.8
no,female,21,Some college / AA,63.2,165.4,23.1
yes,female,50,Some college / AA,68.0,158.0,27.2
no,female,45,Some college / AA,80.4,154.1,33.9
no,female,48,Some college / AA,67.4,161.4,25.9
yes,male,59,Some college / AA,80.6,172.6,27.1
yes,female,61,HS or GED,83.8,168.2,29.6
yes,male,40,Some college / AA,91.2,176.2,29.4
yes,female,27,Some college / AA,86.9,164.0,32.3
yes,female,39,HS or GED,80.2,158.5,31.9
yes,male,62,HS or GED,81.34267560889516,178.9,29.382197103497
no,female,46,HS or GED,76.4,157.4,30.8
no,female,24,College or above,51.8,158.4,20.6
no,male,45,HS or GED,84.9,174.5,27.9
yes,male,36,College or above,60.7,164.0,22.6
yes,female,45,Some college / AA,60.0,161.0,23.1
yes,male,53,Some college / AA,78.2,183.3,23.3
no,female,26,College or above,89.1,167.7,31.7
yes,female,60,Some college / AA,60.6,162.7,22.9
no,female,58,Some college / AA,51.3,148.7,23.2
no,female,73,College or above,57.3,159.4,22.6
no,female,61,College or above,69.8,160.0,27.3
yes,male,26,HS or GED,67.3,177.4,21.4
yes,male,74,9-11th grade,91.3,169.0,32.0
yes,male,80,College or above,108.3,176.8,34.6
yes,male,33,Some college / AA,81.34267560889516,166.1428344791116,29.382197103497
yes,male,28,Some college / AA,89.0,189.4,24.8
yes,male,57,College or above,68.5,166.8,24.6
yes,male,63,College or above,81.34267560889516,186.5,29.382197103497
yes,male,66,College or above,87.5,179.1,27.3
yes,male,28,Some college / AA,74.3,165.8,27.0
yes,male,58,Some college / AA,108.2,173.2,36.1
yes,male,59,9-11th grade,63.2,165.1,23.2
yes,male,80,HS or GED,68.7,164.2,25.5
no,female,72,Some college / AA,53.2,150.1,23.6
no,male,52,9-11th grade,73.8,164.6,27.2
yes,male,67,Some college / AA,63.4,154.1,26.7
no,male,18,Some college / AA,83.2,176.7,26.6
yes,male,54,9-11th grade,107.6,165.2,39.4
yes,female,72,Some college / AA,73.8,155.9,30.4
yes,male,38,9-11th grade,131.6,179.0,41.1
yes,female,46,Some college / AA,78.7,163.7,29.4
yes,female,26,HS or GED,62.5,174.5,20.5
no,female,28,College or above,50.8,161.6,19.5
yes,female,78,Some college / AA,45.9,153.7,19.4
no,female,21,Some college / AA,64.9,166.2,23.5
no,male,24,HS or GED,102.3,176.7,32.8
no,female,53,College or above,67.8,163.8,25.3
no,female,29,Some college / AA,92.9,166.8,33.4
no,male,45,Some college / AA,105.1,166.3,38.0
yes,female,67,College or above,64.5,157.2,26.1
no,male,46,Some college / AA,79.3,171.6,26.9
yes,male,46,Some college / AA,69.4,161.0,26.8
no,female,30,Some college / AA,81.0,156.5,33.1
no,male,20,Some college / AA,77.1,173.4,25.6
no,female,54,Some college / AA,52.5,153.8,22.2
yes,male,80,9-11th grade,90.2,175.2,29.4
yes,male,35,HS or GED,86.9,169.2,30.4
no,male,58,Some college / AA,73.5,172.4,24.7
no,male,37,HS or GED,74.3,167.5,26.5
no,female,25,HS or GED,55.4,160.2,21.6
no,female,27,Some college / AA,85.1,149.4,38.1
yes,female,58,HS or GED,91.5,170.0,31.7
no,male,45,Some college / AA,102.5,180.1,31.6
yes,male,32,9-11th grade,64.9,166.3,23.5
no,male,59,College or above,110.5,176.6,35.4
no,female,24,Some college / AA,84.4,172.6,28.3
no,male,19,Some college / AA,62.9,174.4,20.7
no,male,21,College or above,118.1,166.1428344791116,29.382197103497
yes,male,51,HS or GED,80.2,174.9,26.2
no,male,18,Some college / AA,73.2,176.0,23.6
no,female,67,College or above,93.3,157.4,37.7
yes,female,59,Some college / AA,96.7,160.6,37.5
yes,male,56,Some college / AA,66.3,167.6,23.6
yes,male,36,Some college / AA,82.1,172.0,27.8
no,male,44,HS or GED,115.0,163.5,43.0
yes,female,56,HS or GED,81.8,162.2,31.1
yes,male,60,Some college / AA,66.0,165.7,24.0
yes,male,64,HS or GED,88.6,188.4,25.0
no,female,75,HS or GED,49.4,158.6,19.6
no,male,61,9-11th grade,79.8,167.5,28.4
no,female,40,9-11th grade,78.3,166.6,28.2
no,female,47,Some college / AA,101.1,167.8,35.9
yes,male,75,HS or GED,65.9,163.2,24.7
no,female,25,HS or GED,78.1,162.1,29.7
no,male,74,College or above,92.2,185.1,26.9
no,female,42,College or above,52.3,154.3,22.0
no,female,43,HS or GED,79.5,165.9,28.9
no,female,57,College or above,60.1,159.8,23.5
yes,female,29,Some college / AA,71.4,163.5,26.7
no,male,20,9-11th grade,70.6,178.2,22.2
yes,male,63,9-11th grade,61.1,175.4,19.9
yes,male,61,College or above,58.8,162.4,22.3
yes,male,26,Some college / AA,67.7,175.0,22.1
